"","timestampMs","latitudeE7","longitudeE7","accuracy","Timestamp"
"3351",1536786242897,51.2888759,0.5009266,15,2018-09-12 22:04:02
"3362",1536786518173,51.2888238,0.5008498,14,2018-09-12 22:08:38
"3363",1536786518359,51.2888238,0.5008498,14,2018-09-12 22:08:38
"3364",1536786655104,51.2888238,0.5008498,14,2018-09-12 22:10:55
"3365",1536787009024,51.288897,0.5010059,37,2018-09-12 22:16:49
"3366",1536787016256,51.288897,0.5010059,37,2018-09-12 22:16:56
"3369",1536787096810,51.288868,0.5009502,14,2018-09-12 22:18:16
"3428",1536788821405,51.2888884,0.500834,15,2018-09-12 22:47:01
"3431",1536791283273,51.2888417,0.5007655,14,2018-09-12 23:28:03
"3445",1536794116185,51.2888984,0.5008484,14,2018-09-13 00:15:16
"3446",1536796154500,51.2889092,0.5008482,16,2018-09-13 00:49:14
"3447",1536796753205,51.2889092,0.5008482,16,2018-09-13 00:59:13
"3448",1536798112298,51.2889092,0.5008482,16,2018-09-13 01:21:52
"3449",1536798665331,51.2888983,0.5008484,14,2018-09-13 01:31:05
"3450",1536799266251,51.2889092,0.5008482,16,2018-09-13 01:41:06
"3451",1536801428364,51.2889092,0.5008482,16,2018-09-13 02:17:08
"3452",1536803540725,51.2888962,0.5008456,14,2018-09-13 02:52:20
"3453",1536804141248,51.2889092,0.5008482,16,2018-09-13 03:02:21
"3454",1536806126242,51.288783,0.5008581,16,2018-09-13 03:35:26
"3455",1536806726613,51.2888943,0.5008432,14,2018-09-13 03:45:26
"3456",1536808742200,51.2888983,0.5008484,14,2018-09-13 04:19:02
"3457",1536809342526,51.2888983,0.5008488,14,2018-09-13 04:29:02
"3458",1536811157500,51.2889092,0.5008482,16,2018-09-13 04:59:17
"3459",1536811758198,51.2888938,0.5008426,14,2018-09-13 05:09:18
"3460",1536812597410,51.2888938,0.5008426,14,2018-09-13 05:23:17
"3461",1536813482117,51.2888938,0.5008426,14,2018-09-13 05:38:02
"3462",1536813616275,51.2888983,0.5008484,14,2018-09-13 05:40:16
"3463",1536814215009,51.2888983,0.5008488,14,2018-09-13 05:50:15
"3464",1536815141525,51.2888983,0.5008488,14,2018-09-13 06:05:41
"3465",1536815948185,51.2888983,0.5008488,14,2018-09-13 06:19:08
"3466",1536816033968,51.2889092,0.5008482,16,2018-09-13 06:20:33
"3467",1536816635152,51.2888897,0.5008365,14,2018-09-13 06:30:35
"3468",1536816866421,51.2888922,0.5008379,14,2018-09-13 06:34:26
"3469",1536817013624,51.2889092,0.5008482,28,2018-09-13 06:36:53
"3480",1536818249968,51.2888953,0.5008447,14,2018-09-13 06:57:29
"3492",1536818286648,51.2888992,0.5008457,14,2018-09-13 06:58:06
"3549",1536819271341,51.2849051,0.4791566,24,2018-09-13 07:14:31
"3606",1536820119606,51.285068,0.4793061,24,2018-09-13 07:28:39
"3613",1536820168000,51.2848395,0.4792753,10,2018-09-13 07:29:28
"3614",1536820183000,51.2848103,0.4792744,10,2018-09-13 07:29:43
"3748",1536821583085,51.2974817,0.2470103,16,2018-09-13 07:53:03
"3831",1536822928748,51.3993735,0.0319906,47,2018-09-13 08:15:28
"4119",1536824663359,51.495458,-0.1437575,24,2018-09-13 08:44:23
"4120",1536824679000,51.4954149,-0.144065,10,2018-09-13 08:44:39
"4121",1536824695000,51.4953752,-0.144269,10,2018-09-13 08:44:55
"4122",1536824710000,51.495358,-0.1444198,10,2018-09-13 08:45:10
"4123",1536824725000,51.4953233,-0.1446193,10,2018-09-13 08:45:25
"4124",1536824741000,51.4952182,-0.1446129,10,2018-09-13 08:45:41
"4125",1536824772000,51.4951938,-0.1446048,10,2018-09-13 08:46:12
"4173",1536824934182,51.4946726,-0.1455492,33,2018-09-13 08:48:54
"4307",1536826333999,51.3777381,-0.0920577,10,2018-09-13 09:12:13
"4308",1536826349999,51.3776903,-0.0920885,10,2018-09-13 09:12:29
"4320",1536826365999,51.3774251,-0.0920531,10,2018-09-13 09:12:45
"4321",1536826381999,51.3771973,-0.0921889,10,2018-09-13 09:13:01
"4322",1536826396999,51.377035,-0.0922266,10,2018-09-13 09:13:16
"4325",1536826428999,51.3766823,-0.0923314,10,2018-09-13 09:13:48
"4358",1536826857902,51.3767338,-0.0960008,15,2018-09-13 09:20:57
